,0,1,2,3,4,5,6,status,Run,n_Mechanics,n_Vans,Response,Replace
20,2019-11-29 21:47:00.000000,2019-11-29 21:47:50.000000,2019-11-29 22:03:47.708432,2019-11-29 22:04:37.708432,2019-11-29 22:39:54.031596,2019-11-29 22:40:44.031596,2019-11-29 22:52:58.457083,Replace,5,40,40,0 days 00:00:50.000000000,1007708432000
0,2019-11-29 01:09:00.000000,2019-11-29 00:00:25.000000,2019-11-29 00:17:24.959004,2019-11-29 00:17:49.959004,2019-11-29 00:43:37.115645,2019-11-29 00:44:02.115645,2019-11-29 00:59:13.352345,Replace,6,40,40,-1 days +22:51:25.000000000,1044959004000
1,2019-11-29 01:09:00.000000,2019-11-29 01:09:30.000000,2019-11-29 01:23:07.799726,2019-11-29 01:23:37.799726,2019-11-29 02:11:54.666330,2019-11-29 02:12:24.666330,2019-11-29 02:30:26.559051,Replace,6,40,40,0 days 00:00:30.000000000,847799726000
2,2019-11-29 03:24:00.000000,2019-11-29 03:24:55.000000,2019-11-29 03:37:49.999452,2019-11-29 03:38:06.126417,,,,Onsite,6,40,40,0 days 00:00:55.000000000,
3,2019-11-29 02:27:00.000000,2019-11-29 02:27:55.000000,2019-11-29 02:46:08.287162,2019-11-29 02:47:03.287162,2019-11-29 03:23:47.570201,2019-11-29 03:24:42.570201,2019-11-29 03:38:53.297841,Replace,6,40,40,0 days 00:00:55.000000000,1148287162000
4,2019-11-29 04:30:00.000000,2019-11-29 04:30:55.000000,2019-11-29 04:43:41.481912,2019-11-29 04:44:36.481912,2019-11-29 05:27:49.105889,2019-11-29 05:28:44.105889,2019-11-29 05:46:36.583080,Replace,6,40,40,0 days 00:00:55.000000000,821481912000
5,2019-11-29 05:43:00.000000,2019-11-29 05:43:25.000000,2019-11-29 05:57:51.453240,2019-11-29 05:58:16.453240,2019-11-29 06:39:02.405576,2019-11-29 06:39:27.405576,2019-11-29 06:51:20.475148,Replace,6,40,40,0 days 00:00:25.000000000,891453240000
6,2019-11-29 07:03:00.000000,2019-11-29 07:03:25.000000,2019-11-29 07:12:37.127277,2019-11-29 07:12:55.304317,,,,Onsite,6,40,40,0 days 00:00:25.000000000,
7,2019-11-29 08:13:00.000000,2019-11-29 08:13:45.000000,2019-11-29 08:27:24.657116,2019-11-29 08:27:37.387079,,,,Onsite,6,40,40,0 days 00:00:45.000000000,
8,2019-11-29 09:19:00.000000,2019-11-29 09:19:55.000000,2019-11-29 09:35:30.750661,2019-11-29 09:36:01.238180,,,,Onsite,6,40,40,0 days 00:00:55.000000000,
9,2019-11-29 10:37:00.000000,2019-11-29 10:37:45.000000,2019-11-29 10:49:11.369670,2019-11-29 10:49:56.369670,2019-11-29 11:44:12.883540,2019-11-29 11:44:57.883540,2019-11-29 12:00:46.587883,Replace,6,40,40,0 days 00:00:45.000000000,731369670000
